NEAN	11	83
NEAP	5	19
CEAZ	4	8
NEAL	3	6
YEAD	2	4
CEAS	11	55
NEAR	18	88
NEAT	13	42
CEAN	2	12
YEAN	5	15
NEBB	12	44
YEAR	22	74
YEAS	13	53
NEBI	2	6
YEAH	1	1
NEBE	8	22
YEAL	8	24
STOU	45	194
STOT	11	36
STOS	2	4
STOR	87	450
STOP	38	147
STOO	35	112
STON	107	567
STOW	24	76
STOV	14	49
CEBO	2	5
CEBI	2	3
NEAF	4	8
CEBA	2	11
CEDA	8	30
NECR	75	509
STRU	69	412
YECC	2	3
CECU	3	15
NECT	18	104
CECR	2	9
STRY	9	59
NEDD	2	4
CECI	5	16
YECH	2	2
EKKA	1	1
CECA	2	4
NEBR	2	6
EKIN	1	1
CEDU	2	5
NEBU	34	190
CEDR	4	18
EKIS	5	25
STRE	203	1255
STRA	336	2058
CEDI	4	10
STRO	179	947
NECK	40	184
CEDE	4	5
NECE	29	251
STRI	186	957
NEES	6	20
YEED	2	4
NEEP	1	1
NEEZ	4	8
STUC	11	43
EKLO	2	9
STUB	25	125
STUI	2	7
OHIA	1	1
STUG	3	11
STUF	14	56
NEFA	6	39
STUD	45	212
STUS	2	7
STUR	21	80
YEEL	2	5
OHIN	1	1
STUP	41	217
STUN	23	89
STUM	37	150
STUL	12	63
MBAQ	2	9
YEDE	1	1
NEED	55	292
YEDI	1	2
NEEL	4	6
NEEM	3	4
NEGU	2	4
YEGG	3	7
NEGR	27	148
CEGE	2	3
CEIB	2	3
STUT	8	44
TWYE	4	8
NEGA	32	168
TWYF	3	13
NEGL	34	232
NEGO	21	147
NEIV	2	3
NEIS	1	1
NEIT	1	3
OHMA	2	5
STYG	1	3
STYE	2	2
EKPW	2	7
OHMI	2	6
STYM	10	26
STYL	73	368
STYI	1	2
CEIN	2	9
CEIL	13	43
STYT	4	8
OHMM	2	9
STYR	11	40
STYP	7	34
NEIF	1	1
NEIG	24	170
EKPH	2	10
CELI	7	32
DHOL	4	6
CELE	35	193
DHOO	8	23
NEKT	3	9
CELA	4	18
DHOT	2	3
DHOU	2	7
DHOW	1	1
NELI	2	3
NELL	3	6
MBIR	2	3
NELS	2	5
OHON	1	1
CEMI	2	9
CEME	17	86
CEMB	7	26
CELT	1	1
CELS	2	11
DHOB	2	3
CELO	7	22
CELL	63	311
CENE	4	29
CEND	1	2
CENA	2	7
NENE	1	1
NENN	2	9
EKUE	1	2
NENU	2	9
YELK	1	1
NELU	4	18
YELM	3	6
YELL	46	260
ZHOM	2	3
NEME	10	46
YELD	4	18
NEMA	31	225
CENT	227	1444
EKTE	2	9
CENS	36	189
YELP	6	15
CENO	13	66
NEMN	3	6
NEMO	4	18
YELT	1	1
NEMP	1	1
YEOM	5	18
CEPH	47	359
CEPE	1	1
NEPE	7	23
NEPH	86	584
CEPA	1	5
HUAC	2	3
NEPO	7	35
NEPI	3	7
HUAN	2	7
CEOR	3	7
HUAR	4	18
HUAQ	2	9
NEPT	2	11
YENN	2	5
NEOD	2	11
NEOF	4	26
NEOG	6	40
NEOA	3	31
NEOB	2	9
NEOC	21	178
NEOL	29	171
NEOM	4	18
NEON	14	83
NEOO	3	25
NEOI	4	50
NEOT	27	143
NEOV	4	30
YENT	4	6
NEOP	41	256
NEOR	5	34
NEOS	2	15
CERO	19	105
SUBG	25	144
CERN	5	12
DHUR	6	17
SUBF	35	189
CERM	2	5
NERA	2	3
SUBE	50	276
DHUT	2	3
SUBD	91	574
SUBC	168	1210
SUBB	25	114
CERI	13	32
SUBA	117	774
CERG	2	3
SUBO	66	481
SUBN	22	126
CERE	61	379
NERI	5	13
SUBM	114	832
SUBL	94	580
CERC	14	75
SUBK	2	13
CERB	2	10
NERD	5	12
SUBJ	62	479
CERA	32	167
NERE	5	15
SUBI	72	564
SUBH	12	70
NERO	4	8
SUBW	10	45
SUBV	51	324
SUBU	37	255
SUBT	146	850
NERK	3	4
SUBS	292	2112
SUBR	27	161
YERB	2	3
HUCK	23	148
SUBP	62	396
YERD	3	6
NERT	2	2
SUBZ	4	14
NERV	40	184
CESP	1	5
SUAB	4	16
CESI	2	5
HUBC	2	5
CESA	10	59
HUBB	7	20
SUAV	9	35
SUAS	8	38
CERV	15	75
CERU	17	82
CERT	28	173
CERR	3	9
HUBR	4	20
GRAV	79	408
NETB	4	14
CETO	5	30
GRAY	35	139
YEST	22	130
GRAZ	12	37
SUDD	10	39
YESS	5	13
NETI	4	20
YESH	6	25
SUDO	8	37
NETL	2	6
CETE	3	10
NETE	1	1
NETF	2	5
YESK	3	6
NETH	11	69
CETA	5	19
NETS	2	7
NETT	21	69
NETM	2	11
HUEL	1	3
NETO	2	3
SUDS	9	24
HUEM	2	5
HUER	1	1
SUEA	3	17
CESU	6	16
CEST	16	50
CESS	16	61
NETW	7	36
SUCH	4	18
NESC	4	20
YERS	5	28
SUCC	118	710
NESH	4	15
GRAA	2	3
GRAC	32	186
YERK	3	6
GRAB	19	75
SUCK	26	95
GRAE	4	20
GRAD	66	331
HUDD	8	23
GRAF	18	67
GRAI	29	103
GRAH	2	5
NESS	1	2
SUCU	2	9
GRAK	2	5
SUCT	8	39
GRAM	74	476
SUCR	10	37
GRAL	5	30
YESE	1	1
CETY	4	12
SUDA	18	74
GRAN	227	1421
GRAP	97	536
GRAS	39	183
NEST	19	59
GRAU	8	37
GRAT	59	338
NEVE	11	46
SUFF	90	553
HUGE	9	39
CEVI	2	7
YEUK	4	7
HUGG	9	52
CEVA	3	16
NEVU	1	1
YEVE	2	2
FOAM	18	68
NEVO	1	2
FOAL	5	15
YEVI	1	2
SUGA	35	185
IXIA	1	1
YETT	1	1
SUED	6	17
SUER	1	1
YETI	1	1
NEUK	1	1
NEUM	5	10
HUFF	15	60
NEUR	251	2201
NEUS	3	10
NEUT	45	294
SUET	4	9
FOCA	16	87
HUIA	1	1
FOCI	2	11
NEXU	2	4
YEXE	2	2
YEXI	1	2
HUIS	4	18
HUIP	3	9
NEXT	5	17
FOCU	11	41
HUIT	2	7
SUID	3	8
SUIC	10	61
NEWE	8	16
NEWF	8	65
SUGH	3	6
SUGG	24	183
GREA	45	237
NEWB	4	12
NEWC	3	12
FOBB	2	5
GREC	18	77
NEWL	5	17
GREB	2	3
NEWM	3	14
CEYL	4	22
GREE	142	774
NEWN	2	8
GREG	16	91
GREF	2	9
NEWI	7	25
GREI	21	123
NEWT	3	6
GREM	9	34
NEWW	2	9
YEWE	1	1
GREN	11	50
NEWS	95	557
GRES	6	25
GREW	8	32
GREV	2	3
GREY	24	97
GREX	1	2
PLAI	62	316
PLAF	2	7
PLAG	48	297
FOED	4	20
PLAQ	4	16
PLAT	123	717
PLAS	131	784
PLAN	155	830
FOEH	2	3
PLAP	3	8
FOEM	2	4
PLAZ	2	3
PLAY	91	450
ELBO	6	21
PLAU	12	74
SUKH	1	1
FOET	15	69
SUIN	4	6
SUIL	1	4
ELAB	14	102
FODD	7	29
SUIV	3	11
SUIT	23	97
ELAE	2	11
FODG	1	2
ELAI	2	3
ELAN	9	21
ELAP	8	24
ELAS	31	200
ELAT	21	85
SUJE	2	3
PLAC	87	431
HUMB	27	128
SULP	83	611
FOGA	2	6
HUMA	47	268
HUMF	3	6
FOGB	3	9
HUMG	4	28
SULL	12	47
DIAB	39	224
FOGE	7	25
HUMD	6	31
SULK	12	37
DIAC	44	274
FOGD	2	5
HUME	22	102
DIAD	11	48
ELDE	13	65
FOGG	12	40
DIAE	3	15
FOGF	2	9
FOGI	2	3
HUMH	2	5
DIAG	52	372
FOGH	2	7
HUMI	45	246
DIAH	3	33
ELDI	4	8
SULU	1	1
HUMO	38	207
SULT	17	81
FOGM	2	4
HUML	2	5
DIAK	3	18
FOGL	3	6
HUMM	25	100
DIAL	93	518
DIAM	33	192
HUMS	2	9
SUMA	6	15
DIAN	8	37
HUMP	24	76
DIAP	68	441
HUMV	2	5
ELDR	4	15
FOGR	6	28
DIAR	31	137
DIAS	41	270
HUMU	4	11
DIAT	46	288
FOGY	5	17
DIAX	2	5
DIAZ	24	113
HULA	3	6
GRIC	6	15
HULE	1	1
GRIB	2	7
SUKK	4	10
GRIE	25	101
IXOD	4	15
GRID	24	103
SUKI	2	9
GRIG	5	13
GRIF	17	58
ELCH	4	8
GRIK	2	3
GRIM	27	108
HULK	6	14
GRIL	23	95
HULL	25	88
GRIO	2	3
IXOR	2	3
GRIN	26	95
GRIP	33	103
GRIS	37	155
GRIT	17	66
GRIV	2	5
SULF	90	563
GRIZ	12	47
SULD	2	5
SULC	15	71
PLEN	48	283
SUNS	27	127
SUNR	10	37
DICA	10	52
FOIB	2	5
PLEO	27	153
SUNP	3	14
FOID	1	1
PLEI	21	143
SUNN	14	40
ELFE	1	1
DICE	10	33
SUNL	13	60
ELFH	2	7
PLEU	29	164
DICH	74	596
ELFI	7	25
PLEX	15	73
DICI	4	10
PLEW	1	1
PLER	11	66
SUNW	5	29
DICK	26	92
ELFL	5	17
FOIL	8	27
DICL	5	24
PLET	13	122
SUNU	2	3
FOIN	4	11
PLES	12	72
SUNT	6	23
DICO	13	68
FOIS	9	28
DICR	5	24
DICT	42	227
DICU	2	11
ZIBE	8	28
DICY	5	25
HUPA	1	6
HUNC	7	29
HUND	12	74
SUMP	23	121
SUMO	5	17
DIBA	3	17
HUNG	13	56
DIBB	14	39
ELEC	358	3634
SUMM	91	478
ELED	2	11
SUML	1	3
ELEE	1	8
DIBE	2	17
HUNK	13	36
ELEG	26	103
FOHN	1	1
ELEM	13	81
HUNN	1	3
ELEN	6	20
SUNC	2	9
HUNT	16	71
SUNB	44	187
ELEP	6	41
DIBR	4	28
ELEU	13	129
DIBU	1	3
ELEV	18	76
SUNK	6	13
SUNI	1	1
SUNH	2	5
PLEB	29	171
SUNG	8	31
PLEA	60	310
SUNF	5	22
PLED	15	55
PLEC	15	94
SUND	41	167
DIEB	3	8
DIEC	1	4
