SCR	628	3912
SCU	247	1292
SCY	24	124
SDA	8	30
SDE	12	56
SDR	1	7
SEA	284	1461
SEC	268	1895
SEB	20	108
SEE	110	492
SED	96	632
SEG	54	301
SEI	119	682
SEK	4	9
SEJ	2	7
SEM	418	3317
SEL	158	968
SEN	275	1884
SEQ	52	371
SEP	172	1141
SES	64	467
SER	471	3053
BDE	2	11
SET	69	325
SEW	29	105
SEV	48	283
SEY	5	15
SEX	120	731
SFE	1	4
JUB	27	132
JUD	55	304
JUG	40	179
SFO	6	35
BEB	17	86
JUJ	12	46
BEA	270	1484
JUI	15	67
BED	269	1406
JUL	6	29
BEC	125	671
JUK	9	28
BEF	87	470
JUN	67	318
BEE	111	546
JUM	58	266
SFU	2	9
BEH	76	422
JUP	6	15
BEG	146	720
BEJ	26	135
JUR	46	270
BEI	16	65
BEL	237	1326
JUT	11	37
BEK	19	94
JUS	49	340
BEN	262	1593
JUV	15	99
BEM	105	527
BEP	58	330
JUX	7	61
BER	148	725
BEQ	13	93
BET	162	818
BES	362	2117
BEV	32	138
BEU	3	12
BEW	77	441
BEZ	22	85
BEY	7	22
SGR	2	12
SHA	532	2801
SHC	2	5
SHE	385	2089
SHI	364	1936
SHL	23	115
SHK	1	5
SHN	5	21
SHM	26	111
SHP	1	5
SHO	463	2555
SHR	181	965
SHT	25	97
SHV	4	22
SHU	106	548
SHW	4	14
SHY	14	57
SIA	36	196
SIC	79	401
SIB	29	151
SIE	36	131
SID	146	842
SIG	197	1239
SIF	18	75
SIK	7	20
SIJ	2	3
SIM	174	1033
SIL	246	1390
SIN	249	1556
BHA	20	70
SIP	42	241
SIS	44	215
SIR	60	232
BHE	5	18
SIT	67	317
SIW	4	19
SIV	2	5
BHI	8	32
SIX	37	173
SIZ	40	166
BHO	2	5
SJA	6	37
BHU	2	3
BIB	102	798
BIA	30	142
BID	44	243
BIC	77	481
BIF	39	202
JYN	2	4
BIE	22	104
JYM	1	3
BIH	1	5
BIG	87	429
BIJ	12	63
BIL	164	936
BIK	14	43
BIN	80	352
BIM	47	295
BIP	55	386
SKA	54	234
BIO	353	2842
BIR	149	779
BIQ	5	40
BIT	118	672
SKE	170	856
BIS	90	486
BIV	28	148
BIU	5	32
SKI	251	1270
BIW	2	12
BIZ	21	102
BIY	1	5
SKL	14	57
SKO	23	88
SKR	46	240
SKU	52	272
SKY	86	410
SLA	243	1290
SLE	166	911
SLI	234	1236
SLO	189	959
SLU	180	996
SLY	9	30
SMA	118	622
SME	65	282
SMI	104	491
SMO	162	867
BLA	451	2808
SMR	2	7
BLE	143	768
SMU	60	272
BLI	124	660
SMY	2	9
BLO	282	1607
SNA	187	957
BLU	252	1317
SNE	93	437
BLY	2	5
SNI	148	770
SNO	267	1459
SNU	72	345
SNY	2	3
SOA	60	262
SOC	128	904
SOB	38	207
SOE	1	3
SOD	55	265
SOG	16	77
SOF	59	318
SOI	20	83
SOH	2	2
SOK	12	40
SOJ	11	63
SOM	174	1275
SOL	404	2515
SOO	79	368
SON	132	696
SOP	69	443
SOS	10	44
SOR	198	977
SOU	254	1490
SOT	20	110
SOW	68	223
SOV	34	226
SOY	11	33
SOZ	11	42
SPA	489	2583
SPE	584	4285
SPH	148	1182
SPI	504	3018
SPL	187	1220
SPO	405	2588
BOB	61	294
SPR	277	1567
BOA	95	518
BOD	79	407
BOC	20	62
BOF	10	31
BOE	4	25
SPU	134	646
BOH	15	62
BOG	66	274
BOI	34	179
SPY	14	62
BOL	132	660
BOK	7	12
BON	174	843
BOM	73	417
BOP	8	26
BOO	286	1457
BOR	141	619
BOT	133	717
BOS	72	299
BOV	11	43
BOU	215	1229
BOX	40	178
KAA	3	6
BOW	108	526
BOZ	4	13
KAC	10	42
BOY	37	164
KAB	39	166
KAE	3	5
KAD	7	22
KAG	6	15
KAF	17	91
KAI	40	152
KAH	6	21
KAK	14	64
KAJ	4	18
KAM	40	163
SQU	416	2487
KAL	73	387
KAO	23	128
KAN	48	174
KAP	12	42
KAS	16	69
KAR	88	452
KAU	6	16
KAT	51	290
KAW	3	6
KAV	6	22
KAY	16	53
SRA	4	16
KAZ	14	63
KBA	2	3
SRI	1	1
BRA	553	3189
BRE	315	1915
BRI	351	1909
BRO	434	2527
STA	891	5407
BRR	1	1
BRU	163	846
STE	843	5614
STH	3	13
BRY	14	91
STI	475	2831
STO	621	3665
STR	982	6670
STU	248	1352
STY	110	593
SUA	21	110
SUC	170	1078
SUB	1586	12169
SUE	18	62
SUD	47	221
SUG	63	437
SUF	90	643
KEA	5	15
SUI	46	233
KEC	12	44
SUK	9	29
KEB	23	84
SUJ	2	5
KEE	76	329
SUM	129	763
KED	14	49
SUL	234	1650
KEG	9	33
SUO	1	10
KEF	13	59
SUN	194	962
KEI	8	29
SUQ	1	1
SUP	1129	10199
KEK	2	7
SUS	147	1137
SUR	380	2385
KEM	19	57
KEL	33	99
SUT	32	138
KEN	44	183
SUV	1	5
KEP	14	47
KES	9	25
KER	125	763
SUZ	4	27
KET	41	213
KEW	2	7
KEV	4	10
KEY	55	299
KEX	1	2
SVA	6	36
SVE	8	44
BUB	45	199
BUA	6	13
BUD	52	222
BUC	117	672
BUF	45	227
BUH	8	30
BUG	53	223
BUI	20	80
BUL	223	1239
BUK	6	19
BUN	139	566
BUM	89	450
BUP	7	33
SWA	256	1212
BUO	16	82
BUR	307	1604
BUQ	2	7
BUT	178	1051
SWE	185	1000
BUS	172	889
BUV	2	9
BUX	6	29
SWI	224	1148
BUZ	20	80
BUY	14	60
SWO	91	415
SWU	2	3
KGO	2	7
KHA	49	191
KHE	18	77
BWA	4	10
KHI	13	65
KHO	12	38
KHU	8	31
SYC	36	262
SYB	20	93
SYE	8	22
KIA	4	12
KIC	39	209
SYK	3	5
KIB	41	178
KIE	18	76
SYM	209	1668
KID	72	337
SYL	111	740
KIG	2	5
KIF	1	1
SYN	500	3550
SYP	39	255
KIK	8	24
SYS	64	516
SYR	34	173
KIM	15	64
KIL	116	570
SYT	2	5
KIO	2	5
KIN	214	1310
SYV	2	5
KIP	22	76
KIS	38	144
KIR	40	172
SYZ	5	23
KIT	71	338
KIW	4	16
KIV	2	3
BYC	4	19
BYE	3	8
BYG	2	7
BYL	11	44
BYK	4	8
BYN	3	11
BYP	15	69
BYR	20	70
BYT	6	23
BYS	13	66
BYW	8	28
BYZ	3	13
KLA	16	74
KLE	25	170
KLI	14	73
KLO	26	143
KLU	16	67
KLY	2	11
KNA	72	347
KNE	44	193
KNI	59	320
KNO	110	618
KNU	46	250
KOA	5	9
KOB	9	23
KOE	2	3
KOF	10	39
KOI	3	6
KOH	5	21
KOK	8	24
KOJ	2	3
KOM	12	62
KOL	28	128
KOO	19	76
KON	15	63
KOP	14	39
KOS	9	32
KOR	22	63
KOU	22	104
KOT	12	45
KOW	9	37
TAB	181	978
TAD	6	22
TAC	177	1100
TAF	18	84
TAE	18	80
TAH	12	40
TAG	40	186
TAJ	3	9
TAI	120	598
TAL	193	893
TAK	40	148
TAN	223	1130
TAM	132	649
TAP	120	610
TAO	5	21
TAR	245	1294
TAT	74	333
TAS	76	379
TAV	16	53
TAU	90	554
TAX	83	441
TAW	40	149
TAZ	3	7
TAY	7	31
CAA	2	11
CAC	118	698
CAB	144	764
CAE	37	213
CAD	85	406
CAG	32	132
CAF	29	142
CAI	34	139
CAH	6	19
CAK	19	80
CAJ	20	94
CAM	277	1549
