SCR	1160	9181
SCU	749	5171
SDA	117	580
SDE	223	1541
SDI	272	2124
SDO	309	2282
SDR	229	1745
SDU	49	250
SEA	2	11
SEC	481	3232
SEB	17	90
SEE	4	15
SED	297	1926
SEG	628	4134
SEF	3	18
SEI	31	220
SEH	1	6
FLA	296	1838
SEM	950	7330
SEL	303	2102
SEN	473	3518
FLE	127	817
SEQ	109	970
SEP	206	1384
SES	232	1636
SER	930	6290
FLI	102	592
SET	448	3240
SEV	57	361
SEX	1	1
FLO	224	1503
SEZ	53	367
FLU	414	3115
SFA	997	7258
FLY	2	5
SFE	417	2906
SFI	1248	8624
JUD	9	48
JUG	7	47
SFO	1137	7948
BEB	1	1
JUJ	2	8
SFR	1197	9392
BEA	91	595
BED	8	38
JUL	1	5
BEC	339	2539
JUK	1	4
BEF	108	738
JUN	10	41
BEE	17	93
JUM	8	31
SFU	189	1121
BEH	6	63
JUP	2	3
BEG	26	122
BEI	11	42
BEL	177	1024
JUT	2	2
BEN	582	4263
JUV	4	24
BEM	48	444
SGA	990	7595
BEO	12	33
BER	382	2634
BEQ	4	22
BET	56	339
SGE	42	211
BES	109	853
BEV	211	1411
BEU	3	7
SGI	4	32
SGH	316	2513
WOL	10	68
BEZ	47	338
WOO	1	3
SGO	820	5929
SGN	42	311
WOR	7	39
SGR	1289	10277
SGU	608	4458
SHA	68	439
SHE	10	48
SHI	13	83
FOB	7	21
FOD	57	325
FOC	156	1088
SHO	103	609
FOF	2	4
SHR	1	5
FOE	1	2
FOH	1	1
FOG	175	963
FOJ	1	4
FOI	10	24
SHU	44	259
FOL	277	1969
FON	381	2499
FOM	52	360
FOO	4	16
FOR	1300	8924
FOT	470	4012
SIA	11	47
FOS	286	2220
FOV	2	4
SIC	71	343
FOU	6	26
SIB	74	448
FOX	1	5
SIE	84	539
SID	32	189
FOZ	4	16
SIG	290	2168
FOY	1	2
SIF	31	194
SIK	3	11
SIM	406	3415
SIL	443	3148
SIO	13	61
SIN	966	7847
SIP	16	85
SIS	146	1081
SIR	93	537
SIT	125	634
OAS	1	1
SIV	3	9
SIZ	15	64
WRE	1	6
BHU	2	12
OBB	229	1833
WRI	1	3
OBD	42	253
OBC	4	24
OBE	54	254
OBI	149	1132
OBL	233	1445
BIB	85	589
OBN	49	397
BIA	451	3268
BID	69	420
BIC	168	1101
OBO	13	44
BIF	129	771
OBR	7	43
BIE	56	326
OBT	5	40
BIG	251	1654
OBS	16	101
BII	8	46
OBU	1	6
BIL	217	1388
BIK	2	5
BIN	179	1088
BIM	53	289
BIP	92	611
SKA	3	12
BIO	437	3330
BIR	207	1599
BIQ	5	42
BIT	175	1143
OCA	7	39
SKE	4	11
BIS	671	4698
BIV	54	362
OCC	485	3568
BIU	8	48
OCE	34	209
SKI	13	62
BIZ	63	481
FRA	1659	13207
OCI	8	34
OCH	7	27
FRE	742	4801
OCL	8	59
OCO	4	10
FRI	467	3066
SKU	1	2
OCR	8	22
OCU	27	181
SKY	3	12
OCT	9	52
FRO	327	2300
FRU	668	4572
SLA	448	2933
ODA	5	25
SLE	142	811
ODD	1	2
ODE	10	44
SLI	105	657
ODI	85	396
SLO	195	1235
ODO	182	1233
SLU	89	605
SMA	1613	12268
SME	528	3577
OEC	3	11
SMI	477	3608
FTA	10	43
SMO	834	5890
WUR	1	4
BLA	246	1689
BLE	79	488
FTI	1	5
SMU	224	1236
OER	1	4
BLI	58	338
OEU	1	3
BLO	114	696
SNA	68	550
BLU	72	408
SNE	160	1029
OFF	256	1674
OFE	5	22
SNI	86	468
OFI	44	215
FUC	123	719
SNO	156	1037
FUF	4	14
FUE	11	44
FUH	1	3
FUG	121	621
OFR	2	6
FUI	4	11
SNU	42	211
FUL	152	905
OFT	41	361
FUN	344	2295
FUM	225	1285
FUO	188	1424
FUR	226	1631
FUT	33	201
SOA	7	28
FUS	224	1399
SOC	328	2689
SOB	195	1501
SOD	206	1470
FUZ	1	2
SOG	468	3798
SOF	566	4319
SOI	5	12
OGG	85	774
OGI	4	12
SOM	495	3689
SOL	1342	10127
SON	416	2984
SOQ	2	12
OGL	1	5
SOP	2286	21357
SOS	572	4468
OGN	12	50
SOR	1022	7074
SOU	6	24
SOT	1253	11464
SOV	1256	12133
SOZ	21	84
SPA	2658	19935
SPE	2253	17486
SPI	2435	18293
SPL	141	1042
OHI	3	6
SPO	1456	10846
BOB	64	351
SPR	1056	8324
BOA	14	43
OHM	8	31
BOD	10	41
BOC	258	1856
BOF	43	368
BOE	11	25
SPU	819	5999
BOH	5	20
BOG	48	245
BOI	71	482
BOL	278	1718
BON	139	867
BOM	202	1330
BOO	14	61
BOR	632	3999
BOT	255	1679
BOS	84	440
BOV	26	98
BOU	14	71
OIB	1	1
BOX	46	178
BOW	1	4
OID	3	5
BOZ	95	610
BOY	1	6
KAB	1	3
KAF	6	30
KAI	3	11
OIM	1	1
OIL	1	1
KAK	2	6
KAJ	1	2
OIN	2	10
KAM	5	30
SQU	703	5529
KAL	5	31
KAO	2	4
KAN	8	45
KAP	6	13
OIT	4	21
KAS	7	18
KAR	18	77
KAT	5	28
KAW	1	1
KAV	1	1
KAY	4	20
SRA	138	1103
KAZ	5	14
SRE	10	75
SRO	45	320
SRU	44	365
OKA	2	3
BRA	985	6661
BRE	245	1703
BRI	500	3290
BRO	455	3100
STA	2355	17343
BRU	701	4477
OLA	6	32
STE	1508	11219
OLF	14	87
OLE	177	1007
STI	1251	8747
OLI	237	1498
OLL	4	8
STO	1283	9006
STR	5293	42148
OLM	16	48
