NEAN	8	51
SCOF	43	299
SCOC	205	1389
SCOD	139	927
SCOB	1	3
SCOM	997	7776
SCON	1506	11533
SCOL	577	3599
SCOI	50	226
SCOG	64	462
SCOU	10	55
SCOV	52	217
SCOS	243	1491
NEBB	27	144
SCOT	318	1960
YEAR	1	4
SCOR	1291	8874
SCOO	14	96
SCOP	429	2790
KLYS	1	4
NEBI	2	6
SCOZ	97	584
STOS	36	336
STOR	527	3301
STOP	109	647
STON	137	705
STOZ	48	249
STOV	11	66
CEDA	1	2
NECR	146	1017
STRU	393	2757
CECU	2	4
NECT	7	29
CECR	4	15
CECO	16	109
CECI	18	70
CECH	24	101
SCRA	17	92
CECE	5	10
NEDE	2	16
CECC	8	32
CECA	31	98
NEBR	2	6
CEDU	11	26
NEBU	57	415
CEDR	61	246
NECA	1	2
CEDO	15	58
NECC	4	6
STRE	513	3055
STRA	2899	21171
CEDI	13	56
STRO	631	4432
CEDE	42	158
NECE	51	391
STRI	857	5440
NEER	2	14
CEFA	46	308
APAL	4	10
NEEN	1	2
STUC	61	348
STUB	1	1
STUA	4	12
APAG	8	35
APAC	1	2
STUK	1	1
NEFE	16	102
STUF	58	245
NEFA	16	74
STUE	42	253
OHIB	1	1
STUD	172	1237
OHIM	1	1
OHIL	1	1
STUR	94	428
STUP	231	1311
STUO	96	462
STUN	2	5
STUL	1	2
SCRI	532	4060
UZZA	4	8
SCRE	194	1216
SCRO	302	1919
UZZO	45	235
SCRU	115	734
APAT	14	49
CEFF	10	35
APAR	7	49
CEFE	2	6
NEGU	6	22
SCUL	111	746
SCUG	4	20
NEGR	89	590
SCUF	91	583
SCUS	64	272
SCUT	45	373
SCUR	118	621
SCUO	148	759
SCUP	6	34
SCUN	3	4
STUZ	53	390
CEIB	2	2
NEFO	4	23
NEFR	78	463
STUT	1	3
NEGG	1	6
NEGA	97	627
NEGL	62	395
SCUC	89	557
SCUD	70	453
NEGO	66	406
NEGH	22	117
APET	4	12
APER	27	149
NEIS	4	26
APEI	1	3
OHMI	4	9
STYL	3	7
OHME	2	6
OHMM	2	8
CELI	70	295
CELE	157	891
NEKT	1	2
CELA	39	150
NELL	4	4
CEME	103	739
CEMB	28	135
CELZ	3	5
CELT	22	89
CELS	2	4
CELO	16	71
CELL	102	631
APIV	4	12
CENI	6	14
APIT	2	12
CENG	4	6
APIR	10	43
CENE	67	335
APIS	6	27
CENC	37	166
NENC	1	2
APIN	2	2
CENA	26	77
APIO	2	4
NENF	2	4
YEME	3	12
APID	2	2
NENI	2	2
APIC	20	106
APIA	12	28
NENU	4	16
CEMM	2	12
NELU	3	10
NEMB	12	48
NEME	7	16
NEMA	19	111
NEMM	2	7
CENU	5	15
CENT	617	4551
NEMI	10	49
CENS	114	578
CENO	24	119
CENN	7	26
NEMO	6	32
NEOZ	6	33
NEPE	13	53
NEPA	2	8
NEPO	10	56
NEPP	1	3
NEPI	4	14
APLU	3	12
NEOD	13	92
NEOE	16	102
NEOF	27	182
NEOG	24	153
APLO	11	55
NEOA	18	128
NEOB	4	26
NEOC	28	259
NEOL	38	252
NEOM	14	108
APLI	4	10
NEON	20	109
NEOH	6	48
NEOI	7	60
APLE	2	8
NEOK	6	42
NEOT	30	173
APLA	8	45
NEOV	2	12
NEOP	51	383
CEPP	51	212
NEOQ	2	22
CEPO	2	4
NEOR	13	102
NEOS	8	55
CERO	31	139
CERN	64	265
SUBF	6	50
NERA	8	40
SUBE	160	1228
NERB	62	262
SUBD	53	411
SUBC	27	205
SUBB	94	635
CERI	79	510
SUBA	275	2215
SUBO	145	1033
CERF	7	35
SUBN	4	26
CERE	77	498
NERI	60	282
SUBM	7	57
SUBL	123	798
CERC	225	1430
NERC	2	6
CERB	25	172
CERA	98	452
NERE	61	353
SUBI	195	1329
HUCH	1	1
NERO	22	96
SUBV	2	12
SUBU	18	88
SUBT	4	26
SUBS	59	397
SUBR	8	43
SUBP	2	10
SDAN	4	8
SDAM	42	169
NERU	2	4
NERV	42	176
CESP	22	127
CESO	17	74
SUAD	40	168
SUAC	6	32
CESI	6	20
CESE	55	334
APNO	4	13
CESA	21	109
SUAV	2	4
SUAS	19	59
SUAR	1	2
CERZ	2	13
APNE	5	14
CERV	79	409
CERU	37	185
CERT	82	567
SUAZ	2	4
CERR	20	95
CERQ	1	2
CERP	6	36
NEQU	6	32
SUDI	28	122
GRAV	156	812
CETO	6	24
CETN	4	13
APOZ	2	10
SUDE	15	72
GRAZ	74	398
SUDD	141	1139
CETI	9	27
NETI	1	6
APOT	10	49
SUDO	29	165
APOR	8	31
CETE	4	17
APOS	102	727
APOP	10	66
APON	14	89
CETA	4	10
APOL	75	546
NETS	1	5
NETT	95	450
SUDT	2	14
APOF	23	112
APOG	8	24
APOD	16	78
APOE	2	10
CESU	4	12
CEST	127	596
APOC	70	417
CESS	94	476
NETW	1	3
SDAV	6	12
SDAT	4	4
NESC	10	38
SDAR	14	41
SUCC	380	2375
APPU	229	1496
GRAC	160	1077
SDAZ	45	229
GRAB	1	3
APPR	817	6175
GRAD	193	1028
SUCI	6	16
APPO	418	2638
GRAG	16	96
NESP	6	22
GRAF	322	2052
GRAI	1	1
NESS	10	46
APPL	115	783
APPI	648	4765
GRAM	134	910
SUCR	1	1
SUDA	95	548
GRAN	547	3468
APPE	424	2937
GRAP	21	104
GRAS	57	275
NEST	15	79
APPA	779	5571
CETR	11	45
GRAT	366	2469
APRA	3	10
GABI	3	12
SUFI	9	21
SUFF	183	1334
GABO	4	12
NEVA	10	19
SUFE	2	4
RABA	8	36
SDEB	43	259
RABB	576	4342
SUFO	2	6
NEVI	35	181
RABI	13	40
NEVV	1	3
NEVO	9	26
RABE	53	347
SDEG	65	367
NEVR	88	676
RABD	13	89
IGIE	52	376
SDER	42	253
SDES	6	16
SUGA	4	11
SDEN	47	244
SDEM	17	171
NEUM	6	23
APRU	4	16
NEUR	206	1577
NEUS	3	11
APRO	7	40
NEUT	69	540
NEUN	1	1
SUES	4	20
APRI	71	295
GABA	4	16
GABB	114	525
APRE	3	9
GABE	48	285
GREZ	4	8
GADO	5	26
FOCA	62	410
FOCC	1	3
RADD	331	2471
FOCE	4	8
RADA	41	305
FOCI	1	2
FOCH	49	353
RADI	742	6044
FOCO	34	155
RADE	39	133
SUIF	2	8
FOCU	1	1
SUID	4	6
APSI	2	4
SUIC	46	270
RADO	8	15
SUGL	2	6
RABU	4	11
SUGH	40	228
APUA	4	8
SUGG	192	1292
SDET	3	8
NEWC	1	1
GREC	182	1099
RACC	1188	9382
GREE	1	1
RACA	4	8
GREG	20	83
SUGO	6	19
SUGN	10	32
NEWT	5	26
FOBI	6	11
RACK	1	2
GREM	66	307
RACH	31	179
RACI	57	399
FOBO	1	3
GREP	4	10
NEWS	2	14
RACE	18	83
GADD	8	34
GRET	17	55
RACQ	128	972
GADG	3	21
